edge_type_id target_query source_query model_template delay distance_range target_sections syn_weight dynamics_params
100 pop_name=='PyrA' * shock2pyr 0.1 "[10.0, 11.0]" ['somatic'] 1.0 shock2PN.json
101 pop_name=='PyrC' * shock2pyr 0.1 "[10.0, 11.0]" ['somatic'] 1.0 shock2PN.json
102 pop_name=='Int' * shock2pyr 0.1 "[10.0, 11.0]" ['somatic'] 1.0 shock2INT.json
